DocumentID,PolicyID,locationCode,location,interestPol,yearMin,yearMax,startDate,endDate
document_id_1,policy_id_3557,전국,전국,"교육훈련, 체험, 인턴",18,34,20200924,20201024
document_id_2,policy_id_992,전남,광주,"교육훈련, 체험, 인턴",18,34,20200608,20200617
document_id_3,policy_id_982,전남,광주,"교육훈련, 체험, 인턴",0,99,20200101,20991231
document_id_4,policy_id_981,전남,광주,"교육훈련, 체험, 인턴",18,39,20200212,20200226
document_id_5,policy_id_977,전남,광주,"교육훈련, 체험, 인턴",19,39,20200101,20201231
document_id_6,policy_id_976,전남,광주,"교육훈련, 체험, 인턴",19,34,20200201,20200731
document_id_7,policy_id_963,전남,광주 동구,"교육훈련, 체험, 인턴",18,34,20200212,20200226
document_id_8,policy_id_956,전남,광주 동구,"교육훈련, 체험, 인턴",19,39,20200301,20200430
document_id_9,policy_id_896,경북,경북 영천시,"교육훈련, 체험, 인턴",18,39,20200101,20200630
document_id_10,policy_id_874,경북,경북 봉화군,"교육훈련, 체험, 인턴",18,39,20200318,20200522
document_id_11,policy_id_87,경북,대구,"교육훈련, 체험, 인턴",18,34,20200131,20200210
document_id_12,policy_id_864,경북,경북,"교육훈련, 체험, 인턴",16,18,20200301,20200315
document_id_13,policy_id_852,경북,경북,"교육훈련, 체험, 인턴",0,39,20200311,20200410
document_id_14,policy_id_85,경북,대구 달서구,"교육훈련, 체험, 인턴",0,29,20200601,20210229
document_id_15,policy_id_83,경북,대구 달서구,"교육훈련, 체험, 인턴",19,34,20200101,20201231
document_id_16,policy_id_822,경북,경북 군위군,"교육훈련, 체험, 인턴",18,39,20200701,20200831
document_id_17,policy_id_813,경북,경북 문경시,"교육훈련, 체험, 인턴",0,99,20200901,20200930
document_id_18,policy_id_810,경북,경북 김천시,"교육훈련, 체험, 인턴",15,39,20200101,20201231
document_id_19,policy_id_793,경북,경북 경산시,"교육훈련, 체험, 인턴",15,39,20200101,20201231
document_id_20,policy_id_791,경북,경북 경산시,"교육훈련, 체험, 인턴",15,39,20200101,20201231
document_id_21,policy_id_790,경북,경북 경산시,"교육훈련, 체험, 인턴",15,39,20200101,20201231
document_id_22,policy_id_79,경북,대구,"교육훈련, 체험, 인턴",18,35,20200101,20201231
document_id_23,policy_id_787,경북,경북 경산시,"교육훈련, 체험, 인턴",0,39,20200301,20201031
document_id_24,policy_id_780,경남,경남 함양군,"교육훈련, 체험, 인턴",18,40,20200101,20201231
document_id_25,policy_id_778,경남,경남 함양군,"교육훈련, 체험, 인턴",18,39,20200101,20201231
document_id_26,policy_id_748,경남,경남 통영시,"교육훈련, 체험, 인턴",18,39,20200106,20200115
document_id_27,policy_id_74,경북,대구 달서구,"교육훈련, 체험, 인턴",18,39,20200101,20201231
document_id_28,policy_id_719,경남,경남 창녕군,"교육훈련, 체험, 인턴",18,39,20200101,20201231
document_id_29,policy_id_70,경북,대구 달서구,"교육훈련, 체험, 인턴",0,34,20200501,20200630
document_id_30,policy_id_680,경남,경남 의령군,"교육훈련, 체험, 인턴",18,65,20200101,20201231
document_id_31,policy_id_668,경남,경남 양산시,"교육훈련, 체험, 인턴",18,39,20200101,20201231
document_id_32,policy_id_661,경남,경남 산청군,"교육훈련, 체험, 인턴",18,45,20200122,20200207
document_id_33,policy_id_654,경남,경남 사천시,"교육훈련, 체험, 인턴",18,34,20200330,20200417
document_id_34,policy_id_652,경남,경남 사천시,"교육훈련, 체험, 인턴",18,39,20200226,20200312
document_id_35,policy_id_637,경남,경남,"교육훈련, 체험, 인턴",19,34,20200526,20201210
document_id_36,policy_id_560,경남,경남 김해시,"교육훈련, 체험, 인턴",19,45,20200131,20200221
document_id_37,policy_id_547,경남,경남 김해시,"교육훈련, 체험, 인턴",15,39,20200101,20201231
document_id_38,policy_id_546,경남,경남 김해시,"교육훈련, 체험, 인턴",15,39,20200101,20201231
document_id_39,policy_id_537,경남,경남 고창군,"교육훈련, 체험, 인턴",18,45,20200316,20200417
document_id_40,policy_id_41,경북,대구,"교육훈련, 체험, 인턴",19,39,20200101,20201231
document_id_41,policy_id_38,경북,대구,"교육훈련, 체험, 인턴",0,99,20200101,20201231
document_id_42,policy_id_3,경북,대구,"교육훈련, 체험, 인턴",19,39,20200401,20200430
document_id_43,policy_id_2665,충북,충북 청주시,"교육훈련, 체험, 인턴",19,39,20200101,20201231
