PolicyID,PolicyName,PolicyIntro,pol_intro,Special_Key
pol_3557,청년특별구직지원금,"코로나19로 인한 채용 축소·연기, 구직기간 장기화 등 청년층의 어려운 취업여건을 감안한 긴급 지원, 
본인 희망 시 취업상담‧알선‧직업훈련 등 취업지원서비스 제공‧연계 ","코로나19로 인한 채용 축소·연기, 구직기간 장기화 등 청년층의 어려운 취업여건을 감안한 긴급 지원, 
본인 희망 시 취업상담‧알선‧직업훈련 등 취업지원서비스 제공‧연계",
pol_992,구직청년 교통비 지원,취업준비와 생활비 등으로 어려움을 겪고 있는 청년의 경제적 부담을 줄여 구직활동 참여를 독려하고자 함,취업준비와 생활비 등으로 어려움을 겪고 있는 청년의 경제적 부담을 줄여 구직활동 참여를 독려하고자 함,
pol_982,대학일자리센터 운영지원,"대학 내 취·창업지원 인프라구축, 진로지도강화, 취업지원서비스강화 등 프로그램 운영지원 보조금 ","대학 내 취·창업지원 인프라구축, 진로지도강화, 취업지원서비스강화 등 프로그램 운영지원 보조금",
pol_981,청년내일로 인턴십,"상시근로자 1인이상 중소기업 대상, 미취업 청년(만18세~39세이하)을 3개월간 인턴채용하여 인건비등을 지원한 후, 정규직전환하여 3개월간 인건비 지원 및 취업유지지원금(1인당 100만원) 지급 ","상시근로자 1인이상 중소기업 대상, 미취업 청년(만18세~39세이하)을 3개월간 인턴채용하여 인건비등을 지원한 후, 정규직전환하여 3개월간 인건비 지원 및 취업유지지원금(1인당 100만원) 지급",
pol_977,워킹맘자녀 청중년여성 멘토링 사업,워킹맘자녀를 대상으로 청중년여성의 학습지원 및 안심하고 일할수 있는 환경을 제공함으로써 청중년여성 일자리 창출 및 워킹맘들의 고용유지 기여 여성,워킹맘자녀를 대상으로 청중년여성의 학습지원 및 안심하고 일할수 있는 환경을 제공함으로써 청중년여성 일자리 창출 및 워킹맘들의 고용유지 기여,여성
pol_976,광주청년 일경험드림사업,지역의 미취업 청년들에게 다양한 일 경험을 제공하고 근로소득을 지원하여 민간취업과 지역사회 진입을 촉진,지역의 미취업 청년들에게 다양한 일 경험을 제공하고 근로소득을 지원하여 민간취업과 지역사회 진입을 촉진,
pol_963,청년D프로젝트,저소득 청년층의 특성을 고려한 맞춤형 자립지원 프로그램 운영을 통해 취업 역량 강화 및 사회참여 기회 확대,저소득 청년층의 특성을 고려한 맞춤형 자립지원 프로그램 운영을 통해 취업 역량 강화 및 사회참여 기회 확대,
pol_956,청년진로콘텐츠 발굴 프로젝트,미취업 청년에게 다양한 분야에 대한 간접경험 제공으로 진로에 대한 시야를 넓혀 사회에 진입할 수 있는 계기 마련,미취업 청년에게 다양한 분야에 대한 간접경험 제공으로 진로에 대한 시야를 넓혀 사회에 진입할 수 있는 계기 마련,
pol_896,우수모범기업 청년인턴사업,일자리창출우수기업 등 우수 모범기업 청년인턴 지원,일자리창출우수기업 등 우수 모범기업 청년인턴 지원,
pol_874,봉화군 중소기업 청년인턴 지원사업,관내 중소기업에 청년인턴의 채용을 지원하여 기업의 구인난을 완화하여 기업 성장 발전의 기틀을 마련하고 청년인턴의 관내 기업 유인으로 청년의 지역 정착유도 및 일자리창출 도모,관내 중소기업에 청년인턴의 채용을 지원하여 기업의 구인난을 완화하여 기업 성장 발전의 기틀을 마련하고 청년인턴의 관내 기업 유인으로 청년의 지역 정착유도 및 일자리창출 도모,
